epoch,train_loss,val_loss,val_mae,val_rmse,val_pearson,lr
1,0.8610290658473968,0.7442410429939628,1.126297950744629,1.508941888809204,0.5423073289936908,0.00019945218953682734
2,0.7256311112642289,0.661497219465673,1.0339467525482178,1.4111554622650146,0.604300899207843,0.00019781476007338058
3,0.6661072719097137,0.6111584026366472,0.9835876226425171,1.3393067121505737,0.6582557666883795,0.00019510565162951537
4,0.6259236131906509,0.5813225540332496,0.9437925219535828,1.3156695365905762,0.6628769082563005,0.00019135454576426006
5,0.6006711831092835,0.6021137917414308,0.9626997709274292,1.3347381353378296,0.675827027063235,0.00018660254037844388
6,0.5829298425912857,0.5607260135002434,0.9158366322517395,1.2895338535308838,0.6673823387885759,0.00018090169943749476
7,0.5672653867006302,0.5379759082570672,0.8892427682876587,1.2495499849319458,0.7071057166233711,0.00017431448254773944
8,0.5532154242992401,0.5321160471066833,0.8938249945640564,1.268358588218689,0.6930292800711486,0.00016691306063588583
9,0.5427184247970581,0.5103854350745678,0.8675326704978943,1.2375221252441406,0.7018785720655798,0.00015877852522924732
10,0.5317354072332382,0.5148817473091185,0.8629711270332336,1.2265788316726685,0.7175266873834869,0.00015000000000000001
11,0.5269177294969559,0.5006991536356509,0.849412739276886,1.2232946157455444,0.7137557986995666,0.00014067366430758007
12,0.5137833286523819,0.48930169409140944,0.8325289487838745,1.2053755521774292,0.727034357776053,0.00013090169943749476
13,0.5079336837530136,0.47431442607194185,0.815731406211853,1.1895878314971924,0.7309791484944369,0.00012079116908177594
14,0.5012656474113464,0.48078441293910146,0.8259515166282654,1.1919275522232056,0.7299225814901883,0.00011045284632676538
15,0.49473654413223267,0.47068102611228824,0.8047413229942322,1.1877446174621582,0.7349118293820059,0.00010000000000000005
16,0.4857854322195053,0.46302059362642467,0.8003800511360168,1.1752599477767944,0.7401829150764055,8.954715367323469e-05
17,0.48198227429389956,0.4571420350112021,0.7899690866470337,1.1692578792572021,0.7431147081951475,7.920883091822407e-05
18,0.4792935333251953,0.4594292575493455,0.7962486743927002,1.1724777221679688,0.7396130322495087,6.909830056250527e-05
19,0.47046100068092345,0.4576998488046229,0.7898472547531128,1.173332691192627,0.7421792157851472,5.9326335692419995e-05
20,0.468449542760849,0.45022069686092436,0.7828884720802307,1.1601825952529907,0.7492427643278969,5.0000000000000036e-05
21,0.46110570114850996,0.45404138695448637,0.7893205881118774,1.1663086414337158,0.7469828263641972,4.122147477075271e-05
22,0.4545468658208847,0.44839943456463516,0.7813605070114136,1.1579653024673462,0.7505896889697204,3.308693936411422e-05
23,0.4539571843743324,0.4458465650677681,0.7780894041061401,1.156506896018982,0.7527636094282932,2.5685517452260594e-05
24,0.45153984367847444,0.44109861948527396,0.7715939283370972,1.14913010597229,0.7542285654296825,1.9098300562505273e-05
25,0.44896135878562926,0.44403992942534387,0.7708085775375366,1.1509995460510254,0.7530427580622793,1.3397459621556136e-05
26,0.4469349611699581,0.4374357587657869,0.7668511867523193,1.1450978517532349,0.7551243053845249,8.645454235739906e-06
27,0.4410509655475616,0.43753420654684305,0.7677341103553772,1.1455488204956055,0.7553399297837838,4.894348370484648e-06
28,0.44369581854343415,0.4367924374528229,0.7674963474273682,1.1450265645980835,0.7558550661427941,2.185239926619432e-06
29,0.44567102086544036,0.4424357716925442,0.7706844806671143,1.151357889175415,0.7543561946457671,5.478104631726601e-07
30,0.43692830407619476,0.44099222775548697,0.7693379521369934,1.14969801902771,0.7547670338415908,0.0
