epoch,train_loss,val_loss,val_mae,val_rmse,val_pearson,lr
1,0.9000154213905335,0.7186919320374727,1.084416389465332,1.4892035722732544,0.5317823017236163,0.00019945218953682734
2,0.6727047789096833,0.5976224183104932,0.9650119543075562,1.3589329719543457,0.63210179654866,0.00019781476007338058
3,0.6159610747098923,0.5565896437037736,0.9217519760131836,1.298539400100708,0.6666123583074061,0.00019510565162951537
4,0.5822784435749054,0.5420936434529722,0.9056553840637207,1.2723097801208496,0.6832676985204558,0.00019135454576426006
5,0.5629415361881256,0.539144987706095,0.9066826701164246,1.2839583158493042,0.6809594167029537,0.00018660254037844388
6,0.5543883472681046,0.5317500913515687,0.8902900815010071,1.2719672918319702,0.684086234000507,0.00018090169943749476
7,0.549197509765625,0.5081254146061838,0.8714490532875061,1.2537789344787598,0.6953563592296506,0.00017431448254773944
8,0.5337289839982986,0.5312713524326682,0.8947520852088928,1.263357162475586,0.7023874773099773,0.00016691306063588583
9,0.5255782442688942,0.5096193680074066,0.8625255823135376,1.228007435798645,0.7122660899348384,0.00015877852522924732
10,0.5181197619438171,0.4999331298749894,0.8474697470664978,1.2157539129257202,0.7148216114003985,0.00015000000000000001
11,0.51065903621912,0.5436889785341918,0.9000245332717896,1.2628785371780396,0.7175205144144956,0.00014067366430758007
12,0.5057617886066437,0.5219236016273499,0.8750094771385193,1.2394323348999023,0.7203858634615342,0.00013090169943749476
13,0.49838074946403504,0.4851740419398993,0.8315162062644958,1.2041674852371216,0.7222609466977491,0.00012079116908177594
14,0.48987119436264037,0.48357920488342643,0.8314195871353149,1.198846697807312,0.722050512078442,0.00011045284632676538
15,0.4887799558639526,0.4977563077118248,0.8384575247764587,1.2079086303710938,0.7306514820607674,0.00010000000000000005
16,0.4790859595537186,0.4929383203852922,0.8356260061264038,1.2007989883422852,0.734694499161622,8.954715367323469e-05
17,0.4734128813743591,0.4793395616579801,0.8205051422119141,1.1850838661193848,0.7330058497754803,7.920883091822407e-05
18,0.4645407841801643,0.47024740441702306,0.8080317378044128,1.179783821105957,0.7358276020360196,6.909830056250527e-05
19,0.46050309520959853,0.45735421823337674,0.7997190356254578,1.1695116758346558,0.7396186457623232,5.9326335692419995e-05
20,0.45915230000019075,0.4687423650175333,0.8038304448127747,1.180135726928711,0.7401683542325987,5.0000000000000036e-05
21,0.4556507879495621,0.45304243359714746,0.7924379110336304,1.1635936498641968,0.7432796006846997,4.122147477075271e-05
22,0.44866577273607255,0.46225324319675565,0.7966984510421753,1.1689860820770264,0.7448416745740104,3.308693936411422e-05
23,0.4455079992413521,0.4486928216647357,0.7864856123924255,1.1581053733825684,0.7468122196668573,2.5685517452260594e-05
24,0.44502627915143966,0.4456352046690881,0.7858686447143555,1.1544501781463623,0.74759600199726,1.9098300562505273e-05
25,0.44199981409311295,0.45245482213795185,0.788860023021698,1.1608306169509888,0.7486491884468703,1.3397459621556136e-05
26,0.44203951466083524,0.44437463860958815,0.7813563346862793,1.1530964374542236,0.7507424689239072,8.645454235739906e-06
27,0.43910266613960264,0.45252897194586694,0.7867957949638367,1.1612309217453003,0.7493066109148048,4.894348370484648e-06
28,0.4380739629864693,0.45052737137302756,0.7865584492683411,1.159827709197998,0.7502134714836497,2.185239926619432e-06
29,0.43851305425167086,0.44581803889013827,0.7829269766807556,1.1544803380966187,0.7510305170848248,5.478104631726601e-07
30,0.43694622832536695,0.44655165914446115,0.7833554744720459,1.1549733877182007,0.7509854004464965,0.0
